ID,Pilih Nama Dosen,Mata Kuliah,Petemuan Ke,Tanggal,Keterangan,Lama Perkualiahan ,Materi yang diberikan 
6a144f71,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Manajemen Strategi - Kelas A,9,30/04/2025,Offline,02.00.00,membahas tugas materi analisis swot
6673bddc,"Wa Ode Aswati, S.E., M.Si., CRP",Manajemen Strategi - Kelas A,10,30/07/2025,Offline,02.00.00,UTS
b8450747,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Manajemen Strategi - Kelas A,11,14/05/2025,Offline,02.00.00,Materi analisis Swot kelemahan dan kekuatan
109b694f,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Manajemen Strategi - Kelas A,12,28/05/2025,Offline,02.00.00,membahas pemetaan strategi dan analisis swot
290869eb,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Manajemen Strategi - Kelas A,13,04/06/2025,Offline,01.00.00,membahas analisis SPACE
ba889db2,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Manajemen Strategi - Kelas A,14,11/06/2025,Offline,01.00.00,pembahasan materi awal analisis swot sampai SPACE
a9ddf597,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Manajemen Strategi - Kelas A,15,18/06/2025,Offline,02.00.00,UTS
8ba06cb1,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E,10,05/05/2025,Offline,02.00.00,Management Audit
90c3471d,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E,11,26/05/2025,Offline,02.00.00,Internal Audit
27234aae,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E,12,02/06/2025,Offline,02.00.00,Computer Audit
36d443f3,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E,13,12/06/2025,Offline,02.00.00,Audit Atas Progress Right Issue
5bb69ccc,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E,14,13/06/2025,Offline,02.00.00,Jasa-Jasa Selain Audit Yang Bisa Diberikan Kantor Akuntan Publik
98657d27,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E,15,16/06/2025,Offline,02.00.00,Beberapa Hal Penting Dalam Audit Perusahaan Asuransi
f0ab2d92,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E,9,28/04/2025,Offline,02.00.00,Pembagian Kelompok
4f89abff,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",AUDITING II - Kelas E,16,26/06/2025,Offline,01.30.00,UAS
3588bd05,"Wa Ode Aswati, S.E., M.Si., CRP",Akuntansi Sektor Publik - Kelas D,8,05/05/2025,Offline,02.00.00,UTS
52538506,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D,9,15/04/2025,Offline,02.00.00,Metode Pembelajaran & Pembagian Kelompok
ff2016a9,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D,10,29/04/2025,Offline,02.00.00,Akuntansi Berbasis Akrual
f37c6f9b,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D,11,06/05/2025,Offline,02.00.00,Bidang Keuangan Negara dalam mata kuliah eksistensi di FEB UHO
fca7db40,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D,12,20/05/2025,Offline,02.00.00,Sistem Akuntansi Pemerintah Pusat
fb0adfe0,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D,13,27/05/2025,Offline,02.00.00,Manfaat Laporan Keuangan Pemerintah
15978019,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D,14,10/06/2025,Offline,02.00.00,Rasio keuangan daerah
0726e24a,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D,15,17/06/2025,Offline,02.00.00,Rasio Keuangan Daerah
703ee1a9,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Sektor Publik - Kelas D,16,04/07/2025,Offline,02.00.00,UAS
b9227b16,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B,1,21/02/2025,Offline,02.30.00,Karakteristik Akuntansi Keuangan Daerah
