ID,Pilih Nama Dosen,Mata Kuliah,Petemuan Ke,Tanggal,Keterangan,Lama Perkualiahan ,Materi yang diberikan 
ee1b39ec,"Yulius Tandi Sapan, SS., M.Hum.",Bhs. Inggris & Bhs Asing Lainnya - Kelas C,3,01/10/2025,Offline,1 Jam,People and the enviroment
d3ed8b5c,"Mansyur M., S.Pd., M.Pd.",Bahasa Indonesia - Kelas E,4,24/10/2025,Offline,1 jam 45 menit,Membahas tentang berbahasa Indonesia yang baik dan benar dan pengembangan paragraf dalam kalimat
bee72952,"Dr. Drs. Husin, M.Si",Statistik Ekonomi - Kelas E,3,26/09/2025,Offline,2 jam 30 menit,"Membahas tentang konsep statistik, jenis-jenis statistik, peranan statistika, ruang lingkup statistika, data dan informasi"
d59022af,"Wawan Cahyadin, S.Pd., M.Hum",Bhs. Inggris & Bhs Asing Lainnya - Kelas E,3,26/09/2025,Offline,1 jam 30 menit,Membahas tentang parts of speech
78d34c28,"La Ode Muhammad Bahtiar Aksara, S.T., M.T.",Sistem dan Teknologi Informasi - Kelas E,3,29/09/2025,Online,1 jam 30 menit,Diberikan tugas
5b3b4113,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Pengantar Akuntansi I - Kelas E,4,30/09/2025,Offline,2 jam,Matching concept dan proses penyesuaian
fce87ff5,"Vina Olivia Pebrianty, SE., ME",Pengantar Bisnis - Kelas C,5,02/10/2025,Offline,1 Jam,Manajemen Operasional
c232cbaa,"Yulius Tandi Sapan, SS., M.Hum.",Bhs. Inggris & Bhs Asing Lainnya - Kelas C,4,02/10/2025,Offline,2 Jam,Architecture
6c2f00dd,"Satira Yusuf, SE., M.Si.",MANAJEMEN RISIKO - Kelas A,3,30/09/2025,Online,1 jam 45 menit,Prinsip prinsip manajemen resiko
7e8e4c3f,"La Ode Muhammad Arfan Samrin, S.E., M.Ak.",Perpajakan I - Kelas A,4,01/10/2025,Offline,2 jam,Pajak penghasilan (umum)
a130f603,"Dr. Nur Asni, SE., M.Si.",AKUNTANSI KEUANGAN MENENGAH 1 - Kelas A,4,01/10/2025,Offline,1 jam 30 menit,Laporan laba rugi dan informasi terkait
dfbbfb17,"LA ODE MUHAMMAD SAUM FASIHU, S.Ak., M.Ak.",Pasar Modal dan Manajemen Portofolio - Kelas A,5,02/10/2025,Offline,2 jam,Pemilihan portofolio
0cc4a3a5,"LA ODE MUHAMMAD SAUM FASIHU, S.Ak., M.Ak.",Pasar Modal dan Manajemen Portofolio - Kelas A,4,25/09/2025,Offline,2 jam,Return yang diharapkan serta resiko nya
9bbf43ff,"LA ODE MUHAMMAD SAUM FASIHU, S.Ak., M.Ak.",Sistem Informasi Manajemen - Kelas A,1,12/09/2025,Offline,1 jam 30 menit,Definisi sistem informasi manajemen
a80e3311,"LA ODE MUHAMMAD SAUM FASIHU, S.Ak., M.Ak.",Sistem Informasi Manajemen - Kelas A,3,26/09/2025,Online,1 jam 45 menit,Sistem informasi dalam kegiatan bisnis saat ini dan E-business dan kerja sama global
a35dc9d9,"LA ODE MUHAMMAD SAUM FASIHU, S.Ak., M.Ak.",Sistem Informasi Manajemen - Kelas A,4,03/10/2025,Offline,2 jam,"Sistem informasi, organisasi, dan strategi"
b4472c79,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Pengantar Akuntansi I - Kelas B,5,06/10/2025,Offline,2 jam 30 menit,Neraca lajur
c05e6ee0,"Dr. Emillia Nurdin, S.E., M.Si.",AKUNTANSI KEUANGAN LANJUTAN 1 - Kelas A,5,06/10/2025,Offline,2 jam 30 menit,membahas materi likuidasi
dde7f92f,"Dr. Intihanah, SE, M.Si, QIA",Pengantar Akuntansi I - Kelas C,5,06/10/2025,Offline,2 Jam,Siklus Akuntansi
694b60f7,"Wa Ode Reni, S.Pd., M.H.",Pancasila - Kelas C,4,06/10/2025,Online,30 Menit,Pendidikan Pancasila
f0a6b3e6,"Dr. Muh. Nur Afiat, SE., M.Si.",Pengantar Ilmu Ekonomi - Kelas B,4,06/10/2025,Offline,1 jam 30 menit,presentasi teori dan konsep permintaan dan penawaran
185fd428,"Prof. Dr. Wali Aya Rumbia. SE., MSi.",Statistik Ekonomi - Kelas A,5,07/10/2025,Online,1 jam,Mengirimkan materi ppt
70e2bdce,"Prof. Dr. Rosnawintang, S.E., M.Si.",Statistik Ekonomi - Kelas B,5,07/10/2025,Offline,30 Menit,Regresi Sederhana
8d43a292,"Dr. H. Saemu Alwi, SE., MS.",Pengantar Ilmu Ekonomi - Kelas C,4,07/10/2025,Offline,1 Jam,Elastisitas Permintaan
35a17350,"Prof. Dr. La Ode Muhammad Harafah, S.E., M.Si",Pengantar Ilmu Ekonomi - Kelas A,4,30/09/2025,Offline,1 jam 10 menit,Perekonomian Tertutup dan Terbuka
3a0b916d,"Dr. Muhamad Saleh, S.Pd., M.Pd",Pancasila - Kelas A,2,02/10/2025,Online,2 jam,Sejarah Pancasila
9668c307,"Prof. Dr. La Ode Muhammad Harafah, S.E., M.Si",Pengantar Ilmu Ekonomi - Kelas A,5,07/10/2025,Offline,1 jam 10 menit,Elastistias
8903ef60,"Nerlin, S.Sos., M.Pd.",Pancasila - Kelas B,6,08/10/2025,Online,1 jam 30 menit,Pancasila secara ilmiah
ae51b63e,"Dr. Muhamad Saleh, S.Pd., M.Pd",Pancasila - Kelas A,3,08/10/2025,Offline,1 jam 10 menit,Presentasi Kelompok
e39b5abf,"Vina Olivia Pebrianty, SE., ME",Pengantar Bisnis - Kelas C,6,09/10/2025,Offline,1 Jam 30 Menit,Manajemen Pemasaran
67b60907,"Yulius Tandi Sapan, SS., M.Hum.",Bhs. Inggris & Bhs Asing Lainnya - Kelas C,5,08/10/2025,Offline,1 Jam 30 Menit,Letter & Email
